Month_Date,State,District,Month,Sales,Direct,Web,Course,Programs,year_flag,time_order
2015-01-01,State_1,District_5,1,6788.1432943294,1977.3658343834,0,1.744865422,43.1139587129,1,1
2015-01-01,State_7,District_13,1,20885.2838883888,6185.9411629163,0,6.0503518794,188.9803504644,1,1
2015-01-01,State_5,District_34,1,3071.8495049505,595.279720072,0,0.8370350313,1.0503329327,1,1
2015-01-01,State_9,District_47,1,5037.1650765077,850.6486190819,0,0.553672292,15.1496174454,1,1
2015-01-01,State_5,District_25,1,5060.9634563456,1329.7921420342,0,0.5463412059,29.8687705743,1,1
2015-01-01,State_4,District_39,1,11081.3926192619,1979.2179135914,0,1.8469453453,49.5074722052,1,1
2015-01-01,State_10,District_41,1,67201.3702970297,25424.5668046805,0,20.858094351,765.5366630603,1,1
2015-01-01,State_9,District_9,1,8440.302430243,2155.9279621962,0,1.3415426162,301.5560937444,1,1
2015-01-01,State_8,District_16,1,9059.7191719172,1466.30119946,0,0.6139185942,36.6463317966,1,1
2015-01-01,State_1,District_42,1,2577.7555355536,624.3682423042,0,0.226866946,8.699209103,1,1
2015-01-01,State_7,District_44,1,4486.397119712,829.0773555356,0,1.4076923222,9.0177526972,1,1
2015-01-01,State_6,District_35,1,28423.9531953195,4210.3184590459,0,4.2983366752,289.6380754779,1,1
2015-01-01,State_5,District_32,1,3678.6894689469,614.6720682268,0,0.4224493276,13.1659275336,1,1
2015-01-01,State_3,District_36,1,5542.1393339334,1010.1452352835,0,0.9657538659,13.8581325449,1,1
2015-01-01,State_5,District_21,1,10003.3699369937,2469.8007416742,0,1.6906924549,280.869813829,1,1
2015-01-01,State_4,District_29,1,17127.3454545455,2789.0118667867,0,1.8717939676,45.1508974689,1,1
2015-01-01,State_1,District_37,1,3621.1607560756,974.5199665167,0,0.6421664907,3.504071488,1,1
2015-01-01,State_9,District_1,1,22840.20090009,8122.3433843384,0,5.5497761062,491.6572211053,1,1
2015-01-01,State_8,District_8,1,14179.7256525653,2295.0517173717,0,1.416269787,39.4375175968,1,1
2015-01-01,State_1,District_40,1,3562.6505850585,1337.9630752475,0,0.3523678097,71.7482311863,1,1
2015-01-01,State_7,District_33,1,35479.7926192619,13107.1573663366,0,14.4528819028,1704.6373038524,1,1
2015-01-01,State_6,District_19,1,39403.0689468947,7775.5689792979,0,6.5033719298,252.3348211341,1,1
2015-01-01,State_5,District_30,1,5548.8100810081,1591.4798961296,0,1.6756790484,16.0105460792,1,1
2015-01-01,State_4,District_14,1,15133.8455445545,2880.8531557156,0,2.4835710387,338.0791868407,1,1
2015-01-01,State_5,District_18,1,8144.4802880288,3073.3603420342,0,2.2461550356,42.0875846607,1,1
2015-01-01,State_4,District_26,1,14061.700090009,2445.5058343834,0,1.8533812869,68.7161523744,1,1
2015-01-01,State_1,District_46,1,6118.2243024302,2054.9352277228,0,1.4631116679,58.2911810441,1,1
2015-01-01,State_9,District_38,1,16408.301710171,2947.8548082808,0,3.1709704252,48.4535852169,1,1
2015-01-01,State_2,District_12,1,24781.5279927993,7821.8709342934,0,5.3515082916,286.6606200324,1,1
2015-01-01,State_8,District_45,1,9526.7405940594,1413.2446064807,0,0.3539767951,25.0628278722,1,1
2015-01-01,State_1,District_11,1,11560.0532853285,3815.172129613,0,3.3359820835,31.0137137066,1,1
2015-01-01,State_7,District_28,1,4483.2115211521,1285.0154280828,0,1.6563712232,30.164948414,1,1
2015-01-01,State_6,District_4,1,29937.996759676,4384.8495931593,0,4.8933100502,251.6009095104,1,1
2015-01-01,State_4,District_10,1,10551.096309631,1814.2740072007,0,0.6348354048,30.3422813231,1,1
2015-01-01,State_5,District_27,1,5780.79639964,2061.4719729973,0,2.0208970752,19.4957139172,1,1
2015-01-01,State_5,District_7,1,23344.0777677768,9005.6757371737,0,6.4534933807,391.3395948245,1,1
2015-01-01,State_8,District_2,1,7818.8723672367,1138.7012509451,0,0.5109435265,16.1345381926,1,1
2015-01-01,State_9,District_23,1,6239.9618361836,2044.8032709271,0,1.6522581078,243.5884308263,1,1
2015-01-01,State_8,District_24,1,15164.998019802,2743.5814779478,0,1.9990851203,340.8147660072,1,1
2015-01-01,State_3,District_22,1,11567.4743474347,2920.9452007201,0,2.3491301033,57.2527356022,1,1
2015-01-01,State_8,District_3,1,10029.1441944194,1196.5514579658,0,1.1355924808,75.574400324,1,1
2015-01-01,State_1,District_31,1,5847.5067506751,2131.4151611161,0,2.2824478596,34.6522555716,1,1
2015-01-01,State_1,District_20,1,4846.1350135014,1218.2316673267,0,1.0767738608,4.8282165059,1,1
2015-01-01,State_3,District_43,1,5724.5501350135,1322.8196124212,0,1.2217638529,118.6524901645,1,1
2015-01-01,State_3,District_15,1,7379.297929793,1993.5987560756,0,1.4139469606,59.9301776976,1,1
2015-01-01,State_3,District_6,1,4555.6550855086,1196.1156748875,0,0.2767454943,75.9773517046,1,1
2015-01-01,State_1,District_17,1,4383.4340234023,1268.455670207,0,0.6566473597,11.066854795,1,1
2015-02-01,State_1,District_20,2,4219.4801080108,1569.9086324032,37.8117743654,1.9570608484,130.2564023924,1,2
2015-02-01,State_8,District_2,2,7555.4153015302,1288.1748556256,21.875814081,0.2857439638,64.8721682682,1,2
2015-02-01,State_7,District_44,2,4358.8327632763,1176.6143809181,32.9736641944,0.553683283,799.2356834005,1,2
2015-02-01,State_7,District_33,2,35510.101890189,17223.7824590459,407.3501612961,17.5186275968,2828.3548940234,1,2
2015-02-01,State_6,District_19,2,37631.3303330333,9556.5055805581,129.6404247885,6.5207697156,990.9985471467,1,2
2015-02-01,State_1,District_17,2,4802.0889288929,1423.485509451,28.3283839424,0.9146860034,9.4469587687,1,2
2015-02-01,State_5,District_30,2,5569.2334833483,1878.6609612961,32.2222535374,1.7627965908,41.1637607651,1,2
2015-02-01,State_1,District_5,2,7341.3328532853,2087.5100144014,34.4204718812,1.3386048257,181.2909380288,1,2
2015-02-01,State_1,District_31,2,6672.4154815482,2468.6023384338,44.685719802,2.4766645768,99.1916511881,1,2
2015-02-01,State_5,District_32,2,3465.8621062106,791.4910628263,9.0214190747,0.6942067033,860.2251989217,1,2
2015-02-01,State_4,District_26,2,14963.2345634563,2669.1715121512,48.1176180378,2.5186086448,316.3287037084,1,2
2015-02-01,State_1,District_11,2,10744.0928892889,4520.7049756976,76.0550732493,4.1241149795,40.250738045,1,2
2015-02-01,State_5,District_34,2,3310.4194419442,760.4415166517,16.3370379676,0.8006505682,52.6519269991,1,2
2015-02-01,State_8,District_3,2,9490.8853285329,1588.2115227723,37.700135991,0.9133752513,119.5681789145,1,2
2015-02-01,State_7,District_28,2,5461.2759675968,1719.9269659766,93.3213228083,1.5868828632,74.7904061242,1,2
2015-02-01,State_1,District_40,2,3313.2802880288,1505.4127330333,33.5675717912,0.2870547159,83.0703720648,1,2
2015-02-01,State_6,District_4,2,28955.3080108011,5274.9365832583,82.253919532,4.6395135082,1155.5711368353,1,2
2015-02-01,State_10,District_41,2,63743.6514851485,30306.2091269127,507.5401605761,26.4153529469,1994.3798987399,1,2
2015-02-01,State_1,District_42,2,2340.4615661566,830.1668133213,16.2862932529,0.18481605,15.2417415158,1,2
2015-02-01,State_8,District_16,2,8752.8633663366,2012.3374293429,26.9932146211,1.0103709087,97.8511805995,1,2
2015-02-01,State_5,District_7,2,22647.7350135014,10645.0917749775,152.0086570477,8.5625375266,873.3904275068,1,2
2015-02-01,State_6,District_35,2,26405.6345634563,5368.3031125113,109.6380628983,5.9285826968,1419.1474963276,1,2
2015-02-01,State_1,District_46,2,5779.3944194419,2877.0400522052,50.2143469667,0.8895087705,73.1323007759,1,2
2015-02-01,State_8,District_24,2,14864.1814581458,3027.8210063006,61.3527928533,2.6669965777,321.7690873663,1,2
2015-02-01,State_7,District_13,2,20589.1096309631,7604.9598955896,171.7268485509,8.3646139557,1687.3495679208,1,2
2015-02-01,State_1,District_37,2,3143.7602160216,1161.2530266427,19.3475606409,1.0630739365,49.9048743798,1,2
2015-02-01,State_2,District_12,2,23871.3490549055,9010.4693519352,200.0905593519,6.6560501278,613.1636237264,1,2
2015-02-01,State_9,District_47,2,4861.3789378938,849.6681071107,24.8558899262,0.6706131651,207.6157286157,1,2
2015-02-01,State_5,District_25,2,5443.3591359136,1636.256609901,18.1138807489,0.7951346173,53.184723784,1,2
2015-02-01,State_8,District_8,2,13853.1117911791,2738.4610261026,49.8335671647,1.4327060365,310.0859955752,1,2
2015-02-01,State_4,District_39,2,11349.7663366337,2593.9989270927,52.1994375212,1.8726268272,125.7613034653,1,2
2015-02-01,State_4,District_10,2,9533.3537353735,2225.871150315,59.1342766157,0.3866718778,93.828910054,1,2
2015-02-01,State_5,District_27,2,6608.4378037804,2666.5568136814,39.4871277048,2.3940871926,790.6011036778,1,2
2015-02-01,State_3,District_15,2,7125.6900090009,2388.3093015302,50.6458714851,2.7419823915,268.5393473879,1,2
2015-02-01,State_4,District_14,2,14666.500090009,3087.6322376238,52.3922674347,2.3201391878,179.3485334095,1,2
2015-02-01,State_5,District_18,2,8293.4055805581,3342.5653537354,46.4321157516,2.4174077878,261.2250950423,1,2
2015-02-01,State_9,District_23,2,5655.1323132313,2439.1869792979,67.7444690549,1.2334717131,190.3867809811,1,2
2015-02-01,State_3,District_36,2,5027.0891089109,1428.1701778578,28.8005042304,0.7453260364,187.7775393987,1,2
2015-02-01,State_5,District_21,2,10108.5623762376,3226.4291575158,47.244420072,1.3655847354,294.3815793915,1,2
2015-02-01,State_9,District_38,2,16551.8185418542,3655.4576219622,84.4622868227,3.6396286167,783.8573867831,1,2
2015-02-01,State_4,District_29,2,18048.0727272727,3038.6066390639,71.2981546175,2.1835480239,519.97136645,1,2
2015-02-01,State_3,District_43,2,5336.8172817282,1583.4179085509,30.927679982,1.1734500576,38.109634189,1,2
2015-02-01,State_9,District_1,2,22316.5314131413,9631.8960576058,206.1830361836,7.0965168029,553.3551316292,1,2
2015-02-01,State_3,District_6,2,5172.8403240324,1365.7442480648,47.0921859226,0.3856340682,193.2728782682,1,2
2015-02-01,State_9,District_9,2,8030.4331233123,2314.9887938794,56.6060231683,1.2413362259,68.6129506517,1,2
2015-02-01,State_3,District_22,2,10892.4190819082,3973.3613969397,62.3173313231,2.341111222,365.2597545383,1,2
2015-02-01,State_8,District_45,2,9282.1472547255,1620.4594725473,41.9544874977,0.4485501702,92.7139475968,1,2
2015-03-01,State_9,District_1,3,25878.1666966697,10766.1305310531,275.8971779298,14.1565827093,675.2901318092,1,3
2015-03-01,State_1,District_5,3,7211.2187218722,2416.5262574257,66.6630233123,3.1734722976,167.4958049055,1,3
2015-03-01,State_9,District_9,3,9635.6558055806,2678.8676867687,78.1619511071,3.0616455377,118.077570171,1,3
2015-03-01,State_1,District_31,3,7297.4675067507,2955.4810117012,85.4674210621,5.972549685,492.7916133213,1,3
2015-03-01,State_1,District_46,3,7176.9440144014,2968.8813429343,87.9347808461,3.0374665656,207.1555012187,1,3
2015-03-01,State_1,District_11,3,13095.1834383438,4769.8639657966,119.8269992979,6.8582259802,279.6848709271,1,3
2015-03-01,State_1,District_37,3,3687.6882088209,1432.4190630063,24.9370814689,2.4974721602,73.1952178542,1,3
2015-03-01,State_2,District_12,3,26312.6495049505,10155.7073483348,357.3485531953,16.1088984338,554.4274888569,1,3
2015-03-01,State_9,District_38,3,19416.8388838884,4151.0519585959,116.2530158416,7.6361040306,618.6820457066,1,3
2015-03-01,State_1,District_17,3,5978.6426642664,1588.4294144014,46.3712220882,2.2462391334,18.3692146823,1,3
2015-03-01,State_1,District_40,3,3881.7843384338,1601.8297447345,58.915879892,1.6823185222,284.8936203996,1,3
2015-03-01,State_5,District_34,3,3371.5866786679,926.1480419442,28.7802063456,1.4177361143,52.0666584806,1,3
2015-03-01,State_9,District_47,3,5335.5780378038,1116.4763126913,46.6911082358,1.7546026704,203.5417928893,1,3
2015-03-01,State_1,District_20,3,5776.2340234023,1960.4792385239,55.0017124212,3.8438048724,433.0106971845,1,3
2015-03-01,State_1,District_42,3,3222.8169216922,939.6573180918,18.4743626643,1.0831365827,46.8993652565,1,3
2015-03-01,State_6,District_4,3,32675.2720072007,5702.6576993699,132.4073728353,10.7020308515,1036.2974781098,1,3
2015-03-01,State_8,District_16,3,10934.3193519352,2398.4412583258,38.2128520432,3.2875660799,94.8680590459,1,3
2015-03-01,State_6,District_19,3,42232.8770477048,10222.1642718272,204.3704776598,16.094668306,1447.0693657426,1,3
2015-03-01,State_9,District_23,3,6520.3686768677,2726.3680450045,105.4750518812,3.1757393217,332.178317559,1,3
2015-03-01,State_8,District_24,3,17417.9391539154,3705.8995175518,78.0909085149,5.0279386239,278.3700024482,1,3
2015-03-01,State_6,District_35,3,29641.6417641764,6332.3642844284,127.0005329793,10.7241955644,989.9231371737,1,3
2015-03-01,State_5,District_32,3,4732.2412241224,909.1525008101,22.7388631143,1.2521366169,41.8729512637,1,3
2015-03-01,State_4,District_26,3,17050.2487848785,3218.4761152115,89.7014746895,4.9368902997,220.0288687669,1,3
2015-03-01,State_8,District_45,3,10836.5825382538,1876.37309991,56.5958742214,2.0103697462,136.8683533195,1,3
2015-03-01,State_3,District_6,3,5484.3247524753,1435.7963821782,42.8581322952,1.8018271012,309.0632829253,1,3
2015-03-01,State_3,District_43,3,6366.3438343834,1867.3306012601,37.8726680288,2.2055630103,71.410747595,1,3
2015-03-01,State_8,District_8,3,15683.4945094509,3140.5798847885,89.2293544014,4.6637453255,292.3637863546,1,3
2015-03-01,State_7,District_28,3,6075.099909991,2016.4773681368,139.550459712,3.2315263181,237.0867399784,1,3
2015-03-01,State_3,District_15,3,7714.9422142214,2741.2936165617,65.1857687849,4.208250937,229.0661825761,1,3
2015-03-01,State_10,District_41,3,72249.8815481548,34789.5457065707,807.9834912691,54.2597023834,1906.9395153915,1,3
2015-03-01,State_4,District_39,3,13085.8851485149,2944.5864338434,80.446629919,4.7459783177,157.6964537354,1,3
2015-03-01,State_5,District_30,3,6373.3666966697,2049.2700468047,66.5615338794,2.8431540491,412.6398734635,1,3
2015-03-01,State_4,District_14,3,17374.9573357336,3601.5294635464,100.8297716292,6.1318536418,1065.0021735374,1,3
2015-03-01,State_5,District_7,3,24411.5103510351,11863.105549955,241.4105434743,18.7398565329,603.0406218002,1,3
2015-03-01,State_3,District_36,3,5886.3935193519,1519.1399008101,49.3715958236,2.3526510976,62.2394091683,1,3
2015-03-01,State_4,District_29,3,19766.3524752475,3139.9262106211,109.1403758056,5.6293875887,187.4952940954,1,3
2015-03-01,State_7,District_13,3,23489.9456345635,9066.6853717372,259.5954668227,18.5410099676,671.8844889829,1,3
2015-03-01,State_8,District_2,3,9272.9080108011,1360.8416882088,36.4766050405,2.6357449154,230.1386390531,1,3
2015-03-01,State_4,District_10,3,11966.3891989199,2572.4276633663,79.8170065707,2.2661368227,452.6846689253,1,3
2015-03-01,State_7,District_44,3,5338.598739874,1124.6472459046,40.7411054905,1.6877333174,1108.0018928731,1,3
2015-03-01,State_5,District_21,3,12040.5702970297,3678.4451809181,85.3557826823,5.849893335,448.797190081,1,3
2015-03-01,State_8,District_3,3,11484.700630063,1816.5618685869,53.1538270387,2.2385573138,99.5912234347,1,3
2015-03-01,State_5,District_25,3,7131.9855985599,1747.163409901,30.1356735554,2.3241908428,69.0140792457,1,3
2015-03-01,State_3,District_22,3,12581.704410441,4724.2156849685,125.8175978038,5.6140239487,132.348820162,1,3
2015-03-01,State_5,District_18,3,11014.8176417642,3708.1873789379,88.0667171017,6.2436804014,339.2644118632,1,3
2015-03-01,State_5,District_27,3,7420.2318631863,3029.0194113411,62.327480252,4.2071174248,228.792913649,1,3
2015-03-01,State_7,District_33,3,38587.5902790279,18483.1956255626,629.3826972097,32.0710839856,3020.46587982,1,3
2015-04-01,State_8,District_24,4,17904.0568856886,3563.0716039604,31.288161901,4.9912654862,220.7991279928,1,4
2015-04-01,State_1,District_31,4,8206.7110711071,2628.8615751575,40.6599139478,6.4265825149,428.6722536634,1,4
2015-04-01,State_2,District_12,4,31343.7062106211,9742.9118037804,141.0581610621,15.7521828029,707.4435621062,1,4
2015-04-01,State_1,District_40,4,4526.0133213321,1505.6306244825,24.8457409829,1.7458398457,271.4688832403,1,4
2015-04-01,State_1,District_5,4,7754.899729973,2240.2519927993,17.9920934329,3.6870921415,301.0408419262,1,4
2015-04-01,State_1,District_37,4,4742.6210621062,1386.0081625563,17.0985975716,2.4091951021,81.5074025563,1,4
2015-04-01,State_3,District_6,4,6288.4831683168,1422.5049974798,41.8327001818,1.5657241289,218.1751520792,1,4
